EP300	10.855	10.335	10.211	10.557	9.267	11.033	11.488	10.723	10.053	9.504	9.524	9.786	10.202	10.325	9.452	10.471	9.039	10.157	10.894	10.619	10.954	10.838	8.351	9.564	10.508	10.314	10.964	10.506	10.071	9.996	9.416	9.704	9.909	9.708	9.723	9.923	9.961	10.135	10.968	9.870	10.711	10.848	9.963	10.651	10.979	11.288	9.853	12.094	10.988	10.041	10.208	9.518	9.990	9.266	10.814	10.462	10.579	9.973	9.668	9.822	10.879	10.505	10.221	10.051	10.383	10.785	9.588	9.721	9.628	8.918	10.627	8.573	10.404	10.183	9.415	11.106	10.120	9.409	11.158	9.868	9.098	10.284	8.686	8.895	9.425	10.947	10.213	10.883	11.368	10.366	11.101	10.091	10.419	9.558	10.521	10.460	10.418	10.839	9.662	10.997	10.843	10.558	9.642	10.490	10.126	9.179	9.953	10.637	9.550	10.810	9.439	10.231	9.657	9.681	8.711	10.652	10.490	10.763	9.234	10.280	10.220	11	10.620	10.069	9.586	11.075	8.433	11.183	10.430	11.337	9.868	10.562	10.061	10.222	10.073	11	10.082	10.071	10.887	9.914	9.632	10.515	10.386	10.250	10.364	10.851	10.012	10.099	9.806	10.472	9.958	10.773	10.293	10.304	11.301	11.014	11.651	10.995	11.039	10.441	11.164	8.228	10.158	8.458	10.858	9.923	10.274
ESR1	4.872	4.550	3.816	3.026	4.860	3.893	3.445	5.233	2.814	4.018	4.036	5.031	4.042	4.439	5.402	2.595	2.027	3.881	3.964	5.246	4.043	3.742	3.431	4.051	5.046	3.967	5.863	5.534	3.132	3.936	4.192	3.537	2.878	3.253	3.507	4.540	3.377	3.698	5.519	4.143	4.681	4.921	4.492	4.727	3.907	4.136	3.539	2.106	3.211	3.788	5.865	3.215	5.148	4.375	4.366	3.341	1.693	3.844	2.576	4.620	4.626	4.456	2.697	3.589	2.050	4.627	3.970	2.338	2.146	3.123	2.603	3.579	2.714	4.310	4.364	4.449	3.490	4.077	2.069	4.506	4.687	3.227	3.821	3.275	3.314	3.617	4.545	5.803	3.679	3.130	3.878	3.881	3.144	2.837	3.840	5.683	3.280	2.967	4.382	4.559	4.678	4.275	4.467	3.868	5.166	4.591	5.598	5.887	3.779	1.744	6.573	3.916	3.437	2.534	2.726	3.025	2.144	4.488	3.864	3.003	4.452	3.286	2.994	5.258	4.495	4.090	4.820	5.001	3.428	3.984	5.697	4.293	4.890	4.019	4.413	5.212	6.198	4.018	4.793	5.277	3.708	1.468	4.177	3.529	5.055	2.946	2.515	3.011	4.342	5.119	4.194	3.244	3.637	2.628	4.546	4.697	6.105	6.276	4.937	3.787	3.396	4.412	2.317	2.885	4.024	5.693	4.484
FGF7	4.810	9.692	3.173	3.690	3.343	3.483	3.142	3.564	5.169	3.592	5.545	3.762	3.127	1.865	3.347	3.471	3.354	3.063	3.595	5.203	4.241	3.509	3.245	4	3.226	3.867	3.174	5.061	3.840	3.245	3.493	3.589	1.493	4.535	5.029	3.074	4.613	3.934	1.966	4.537	3.310	3.682	4.207	3.567	4.308	4.027	3.539	5.259	3.868	2.845	4.889	3.889	5.330	6.935	4.221	3.849	2.635	5.292	3.078	3.593	3.632	3.492	3.737	2.961	4.282	2.589	3.733	2.956	4.110	3.980	3.479	3.414	3.745	2.690	3.886	3.897	4.597	5.264	3.404	4.387	4.460	4.147	5.171	5.903	3.314	4.144	4.473	2.973	2.909	2.625	3.152	3.881	2.760	2.614	5.469	3.790	3.410	4.525	2.661	4.092	2.350	3.837	4.365	3.159	2.858	6.084	4.218	5.314	2.813	3.009	4.006	4.253	3.489	3.135	4.246	5.589	3.362	5.383	3.761	4.526	3.399	3.536	2.802	4.391	3.115	2.763	4.226	3.844	4.781	3.796	4.645	3.558	4.251	3.681	3.931	2.859	3.524	4.596	4.097	4.034	3.865	4.176	3.428	4.627	4.389	4.400	3.602	4.203	4.504	2.306	3.848	3.011	1.580	4.479	4.183	2.540	5.684	9.363	3.716	5.467	5.251	5.256	4.138	4.651	3.975	5.552	3.931
FOS	12.171	13.530	13.656	15.143	12.842	12.299	11.982	13.008	12.574	13.578	11.081	10.607	9.988	13.149	12.039	11.973	11.601	12.733	11.822	14.702	11.458	11.118	10.177	12.543	10.404	14.113	13.933	12.248	12.389	11.332	12.469	13.882	15.078	12.879	12.431	12.127	12.962	9.130	12.367	11.463	11.617	12.018	11.894	11.392	11.382	11.037	12.405	12.092	10.965	12.146	13.424	11.658	13.932	10.643	12.543	12.415	12.678	9.549	12.757	10.437	11.892	13.707	11.292	12.122	11.670	13.988	10.195	12.897	11.343	11.742	10.070	12.015	12.498	11.548	11.440	12.604	9.026	12.973	8.690	11.778	11.752	9.057	11.648	12.826	12.007	13.670	13.223	11.796	10.822	11.740	14.741	13	13.812	13.543	12.403	13.290	10.895	9.657	12.362	11.063	12.212	11.716	11.167	12.520	14.748	12.148	12.329	10.811	10.048	11.014	10.803	10.348	11.935	12.538	10.977	13.159	11.346	12.819	11.192	11.673	12.778	12.185	10.660	13.091	14.155	12.464	11.475	13.889	12.611	11.608	9.343	10.565	12.874	15.171	12.614	11.456	11.614	11.816	13.494	11.547	12.734	12.808	11.513	12.458	10.508	10.540	12.233	10.563	12.645	11.648	9.924	11.354	12.211	11.677	13.767	12.839	14.372	12.422	11.340	12.632	9.938	10.995	12.549	12.091	11.994	13.276	11.188
FOXA3	0.695	2.841	1.818	4.839	5.637	2.089	0.863	1.612	0.003	2.983	3.120	0.007	4.539	3.998	3.639	2.008	0.815	2.563	1.818	5.327	4.165	2.322	1.207	2.987	2.086	0.007	0.593	1.204	1.079	1.040	2.085	0.004	1.495	2.611	1.059	0.010	1.929	4.863	0.492	1.012	2.051	1.703	1.884	3.625	4.936	2.611	5.231	0.961	0.567	3.421	1.019	0.549	0.010	1.273	3.433	1.831	0.011	2.750	1.801	0.566	1.493	0.013	3.635	3.484	2.052	5.470	0.004	0.747	0.891	6.643	2.212	2.459	1.653	2.988	4.146	5.931	1.611	5.033	0	6.268	1.700	0	1.674	4.038	1.043	0.530	4.681	1.171	0.852	1.447	1.416	4.129	3.552	3.354	0.011	2.937	1.247	1.041	3.957	0.999	0.010	3.103	2.007	1.708	1.029	2.359	3.325	1.415	0.006	4.220	0.011	1.862	3.632	3.319	1.083	2.847	1.786	1.055	3.093	2.003	4.769	1.721	2.696	0.006	5.927	1.225	0.007	1.448	0.755	0	0.006	3.674	0.613	0.014	0.898	1.981	4.812	6.329	1.746	4.152	2.706	2.515	1.147	0.722	1.724	0	0.010	1.533	3.299	5.458	0	1.273	5.532	0.014	2.042	1.464	2.482	3.382	2.286	2.246	0.996	2.460	3.454	1.938	2.564	3.042	2.629
FURIN	10.587	12.112	10.195	9.667	10.559	10.387	9.543	11.559	10.514	10.213	11.223	10.496	10.009	10.541	10.980	10.060	9.003	10.662	10.551	11.213	10.725	9.962	9.359	9.615	12.226	11.025	10.338	10.339	10.117	9.868	9.852	10.500	10.827	10.259	10.759	11.147	10.474	10.005	10.153	9.879	9.578	10.544	11.689	10.163	10.161	10.121	10.396	10.323	10.449	10.932	11.631	9.971	11.393	10.136	10.545	10.188	9.224	9.270	10.344	10.078	10.483	10.376	10.051	9.885	8.815	11.068	10.245	9.831	9.854	9.673	10.649	10.236	10.478	11.714	10.822	11.476	9.457	9.768	10.013	10.862	9.980	9.911	8.728	9.941	10.389	9.715	10.014	11.087	10.087	10.059	11.094	10.658	9.776	10.729	9.933	10.709	9.886	10.017	10.429	10.640	9.958	11.068	9.806	10.603	10.596	8.971	10.564	9.531	10.167	10.274	9.930	9.984	10.240	10.650	9.867	10.460	9.817	11.022	10.497	11.016	11.296	10.432	10.613	10.150	10.006	10.531	10.266	10.240	10.178	11.717	9.379	10.306	10.743	10.748	10.787	10.033	10.271	9.839	10.750	10.609	9.467	9.916	10.056	10.770	12.154	9.765	10.233	9.970	10.664	11.994	10.446	10.265	10.587	10.692	10.560	11.166	11.562	11.914	10.771	10.779	10.230	10.034	9.158	9.487	10.209	11.780	12.436
GPC3	7.654	7.815	5.285	4.633	4.224	3.633	6.361	3.210	3.895	6.641	5.513	5.984	4.626	3.688	4.274	4.504	8.284	4.331	4.332	4.969	6.937	3.943	5.153	9.903	5.663	5.721	5.812	6.445	8.847	4.123	4.315	5.426	2.211	2.742	6.201	3.778	4.467	3.065	5.025	5.164	4.153	3.744	3.896	4.964	3.744	4.301	4.751	13.051	5.026	5.317	5.280	4.279	5.349	8.514	3.583	6.793	7.447	2.750	4.449	5.422	5.279	5.657	3.581	6.852	7.808	7.144	4.416	4.774	3.122	1.836	1.964	3.726	4.109	5.702	3.480	2.871	3.939	6.492	11.632	3.493	3.931	10.311	6.331	4.342	2.971	5.280	5.121	4.253	1.944	5.298	5.308	3.345	3.210	5.526	6.278	4.951	4.524	4.651	2.959	5.773	9.257	4.275	5.484	5.198	6.542	6.153	7.285	5.860	4.149	3.917	6.506	5.589	3.271	4.774	3.237	6.781	6.076	6.143	2.465	5.025	5.225	4.174	4.081	7.344	4.029	3.888	6.194	9.809	8.860	11.037	4.470	5.948	5.441	4.522	4.796	3.545	5.814	4.937	4.596	6.432	3.962	8.346	4.076	7.088	7.152	3.342	4.038	2.389	5.712	5.172	7.197	2.627	2.801	5.220	3.138	4.570	5.953	7.624	6.970	6.302	4.289	4.689	3.454	6.618	3.638	7.480	2.772
HDAC1	10.007	10.906	10.539	10.207	10.261	10.759	10.624	10.764	9.915	10.336	10.343	10.772	10.478	10.357	9.780	9.961	10.964	10.698	10.777	10.769	10.711	10.781	10.875	10.692	11.142	10.577	10.188	10.994	10.654	10.862	10.837	10.650	10.754	10.431	10.630	10.723	10.563	10.477	10.906	10.584	10.428	10.341	10.041	11.070	10.415	10.791	10.283	11.166	10.625	10.623	10.571	9.783	10.666	10.679	10.403	10.229	10.211	10.047	9.629	10.653	9.922	10.311	10.531	10.829	10.068	11.041	11.063	10.064	10.096	10.679	10.802	10.972	10.439	10.443	10.793	10.609	10.547	11.254	11.160	10.704	11.115	10.150	10.643	10.668	10.416	9.662	10.024	10.600	9.771	10.516	9.782	10.201	10.441	11.465	9.773	10.998	10.563	10.108	10	10.732	10.233	10.015	10.700	10.596	10.486	10.651	10.740	10.232	11.036	10.207	10.535	10.689	10.248	11.056	10.176	10.451	10.226	10.486	10.479	10.874	10.352	10.036	10.812	10.316	10.829	10.579	10.649	10.282	10.584	10.906	10.597	10.645	10.082	10.622	10.776	10.263	10.711	11.329	10.594	9.979	10.901	9.883	10.504	10.461	10.065	10.090	10.859	10.434	10.409	11.201	10.609	10.351	11.843	9.646	9.800	10.722	10.181	10.979	10.456	10.521	9.834	10.502	10.856	10.968	9.886	11.021	10.728
HDAC4	9.381	8.582	9.212	9.113	8	9.174	10.340	8.546	9.402	8.682	9.112	9.447	8.491	9.181	8.955	9.260	9.733	9.673	9.493	9.153	9.011	9.041	8.441	8.659	8.879	8.951	9.147	9.042	8.779	8.784	8.842	8.815	9.133	9.082	8.729	8.917	9.105	9.855	9.373	9.327	9.488	8.876	8.600	9.092	9.673	9.301	9.463	9.187	9.824	9.348	8.606	8.883	7.881	8.616	9.212	8.991	8.530	9.398	8.624	8.762	9.039	9.916	9.891	8.622	9.427	9.799	9.536	9.435	9.045	8.910	8.432	7.925	8.856	8.615	8.798	9.490	9.317	8.693	8.908	8.342	8.946	9.325	8.116	8.305	8.753	9.668	9.526	9.558	9.705	9.256	9.965	9.495	9.299	8.707	9.417	8.978	10.257	9.902	9.482	9.499	9.648	8.947	9.083	8.992	9.592	9.054	8.965	9.374	8.398	9.257	8.984	9.422	8.889	8.652	8.003	9.400	9.063	9.367	8.117	8.614	8.826	9.585	8.689	9.234	8.481	9.028	8.044	9.278	9.033	9.064	8.798	9.678	9.204	8.964	9.262	8.899	8.581	9.836	9.052	8.768	7.563	9.641	9.320	9.410	9.494	9.556	8.806	9.650	8.530	9.760	10.109	9.503	8.792	9.687	9.362	9.008	9.653	9.594	9.546	8.927	10.235	8.430	8.269	8.599	9.838	8.375	9.278
JUN	11.881	13.234	12.941	13.855	12.210	12.468	11.543	12.552	11.696	12.284	11.807	11.848	11.910	12.597	12.594	12.469	10.710	13.203	13.446	13.872	12.855	11.887	11.634	11.883	12.179	13.169	13.399	12.160	11.950	12	12.141	13.051	13.372	12.556	12.481	13.072	12.541	11.688	12.692	11.783	12.589	12.299	13.787	12.591	12.028	12.774	12.030	12.443	12.399	12.972	12.787	11.473	13.961	11.031	12.433	12.318	12.343	11.880	12.841	12.563	11.510	12.647	12.345	12.842	12.507	13.813	12.062	11.723	11.733	12.509	12.950	11.726	13.084	12.875	12.491	13.698	12.180	12.687	9.749	13.257	11.783	11.176	10.336	11.967	12.057	12.658	12.533	12.361	11.140	11.874	13.628	12.736	12.861	14.491	14.015	13.529	12.463	11.317	12.714	12.907	12.176	12.810	11.753	12.969	13.727	11.543	12.762	11.585	12.460	11.935	12.441	11.464	12.732	13.605	11.052	12.396	11.709	12.026	11.891	13.051	13.124	12.742	12.121	12.357	12.425	12.833	11.733	12.751	12.767	11.725	10.448	12.430	12.424	13.324	13.010	12.138	11.851	11.747	12.837	12.176	13.241	12.129	12.144	12.813	12.378	11.719	14.035	11.482	12.227	13.246	11.693	12.418	13.111	11.872	13.250	12.794	12.816	12.821	12.372	12.434	11.087	10.903	12.525	11.827	12.034	14.138	12.762
